 American Society for Testing and Materials (ASTM)
 Solar Spectra: Standard Air Mass Zero
 2000 ASTM Standard Extraterrestrial Spectrum, Reference E-490-00
 Solar constant = 1366.1 [W/m2]
 Data obtained August 2011 from
 http://rredc.nrel.gov/solar/spectra/am0/ASTM2000.html

 No. rows: 1697
 Wavelength[micron]  Irradiance[W/m2/micron]
    4.30                6.496
    4.32                6.374
    4.34                6.254
    4.36                6.138
    4.38                6.024
    4.40                5.913
    4.42                5.804
    4.44                5.698
    4.46                5.594
    4.48                5.492
    4.50                5.393
    4.52                5.296
    4.54                5.201
    4.56                5.108
    4.58                5.018
    4.60                4.929
    4.62                4.842
    4.64                4.757
    4.66                4.674
    4.68                4.593
    4.70                4.514
    4.72                4.436
    4.74                4.360
    4.76                4.285
    4.78                4.212
    4.80                4.141
    4.82                4.071
    4.84                4.003
    4.86                3.936
    4.88                3.870
    4.90                3.806
    4.92                3.743
    4.94                3.681
    4.96                3.621
    4.98                3.562
    5.00                3.504
    5.05                3.394
    5.10                3.267
    5.15                3.146
    5.20                3.030
    5.25                2.920
    5.30                2.815
    5.35                2.715
    5.40                2.619
    5.45                2.527
    5.50                2.439
    5.55                2.355
    5.60                2.275
    5.65                2.198
    5.70                2.124
    5.75                2.054
    5.80                1.986
    5.85                1.921
    5.90                1.859
    5.95                1.799
    6.00                1.742
    6.05                1.687
    6.10                1.634
    6.15                1.583
    6.20                1.534
    6.25                1.487
    6.30                1.442
    6.35                1.399
    6.40                1.357
    6.45                1.317
    6.50                1.278
    6.55                1.240
    6.60                1.204
    6.65                1.170
    6.70                1.136
    6.75                1.104
    6.80                1.073
    6.85                1.043
    6.90                1.014
    6.95                 .9862
    7.00                 .9592
    7.05                 .9331
    7.10                 .9080
    7.15                 .8836
    7.20                 .8601
    7.25                 .8374
    7.30                 .8154
    7.35                 .7942
    7.40                 .7736
    7.45                 .7537
    7.50                 .7344
    7.55                 .7158
    7.60                 .6977
    7.65                 .6802
    7.70                 .6633
    7.75                 .6469
    7.80                 .6310
    7.85                 .6156
    7.90                 .6006
    7.95                 .5862
    8.00                 .5721
    8.05                 .5585
    8.10                 .5453
    8.15                 .5324
    8.20                 .5200
    8.25                 .5079
    8.30                 .4961
    8.35                 .4847
    8.40                 .4737
    8.45                 .4629
    8.50                 .4525
    8.55                 .4423
    8.60                 .4324
    8.65                 .4228
    8.70                 .4135
    8.75                 .4044
    8.80                 .3956
    8.85                 .3870
    8.90                 .3787
    8.95                 .3706
    9.00                 .3627
    9.05                 .3550
    9.10                 .3475
    9.15                 .3402
    9.20                 .3331
    9.25                 .3262
    9.30                 .3195
    9.35                 .3129
    9.40                 .3065
    9.45                 .3003
    9.50                 .2942
    9.55                 .2883
    9.60                 .2825
    9.65                 .2769
    9.70                 .2714
    9.75                 .2661
    9.80                 .2608
    9.85                 .2558
    9.90                 .2508
    9.95                 .2460
   10.                   .2412
   11.                   .1635
   12.                   .1152
   13.                   .0834
   14.                   .0619
   15.                   .0469
   16.                   .0361
   17.                   .0283
   18.                   .0225
   19.                   .0181
   20.                   .0147
   25.                   .00605
   30.                   .00293
   35.                   .00158
   40.                   .000931
   50.                   .000383
   60.                   .000185
   80.                   .0000588
  100.                   .0000242
  120.                   .0000117
  150.                   .00000481
  200.                   .00000153
  250.                   .000000628
  300.                   .000000295
  400.                   .000000101
 1000.                  3.38E-09
