  Velocity data for Jupiter's Great Red Spot.  The data correspond to
  Figure 2 of Dowling and Ingersoll (1988, J. Atmos. Sci. 45, 1380-1396).
  Data have been combined from both Voyager 1 and Voyager 2.
  The zero of longitude corresponds to System III on 5 July 1979.

     wlon     glat    u(m/s)    v(m/s)
    112.94   -21.90    -5.41    -1.92
    112.58   -21.75    -5.89    -1.24
    112.26   -22.32     2.75    -0.78
    112.09   -22.92     3.83    -0.28
    112.83   -22.29     0.60    -6.05
    112.34   -23.10     6.34    -2.03
    112.88   -22.96     3.66     4.87
    112.59   -23.43     4.19     1.34
    111.33   -23.63    -3.40    -8.62
    111.81   -23.52     5.78   -10.64
    111.79   -23.68     8.02   -11.43
    111.24   -23.85     4.11    -3.52
    111.55   -24.97     7.34    -7.46
    111.95   -24.78     0.80    -8.68
    111.86   -25.06    12.23    -5.97
    112.73   -24.62    15.28    -2.60
    113.18   -24.53    19.63    -4.91
    114.29   -14.32   -20.45    -6.06
    115.74   -15.33   -41.95   -21.07
    112.86   -15.83   -89.36   -18.38
    112.97   -15.63   -84.13   -17.95
    113.27   -16.00   -90.07   -19.57
    113.56   -16.10   -86.43   -20.64
    113.95   -16.57   -89.13   -24.71
    114.97   -17.00   -85.76   -29.60
    115.38   -16.94   -88.10   -34.27
    115.14   -16.74   -88.00   -34.44
    115.87   -17.11   -88.46   -36.86
    115.86   -17.11   -88.11   -37.64
    116.12   -17.42   -85.46   -38.57
    115.55   -23.58    29.05   -55.76
    115.73   -23.45    23.79   -59.71
    115.52   -22.51   -10.04   -39.91
    115.62   -22.61    -1.74   -44.94
    115.59   -23.25    17.56   -51.96
    115.70   -22.00   -20.05   -35.12
    116.05   -22.93     6.12   -46.33
    115.35   -22.06   -15.41   -31.91
    115.62   -22.22    -8.91   -33.11
    115.26   -22.34    -5.34   -31.23
    115.65   -21.47   -20.94   -30.60
    114.45   -22.75     8.90    -3.57
    114.31   -22.85     8.13    -2.54
    114.70   -22.68     9.08    -7.31
    113.53   -22.05     9.59     0.99
    113.90   -22.28     9.31    -4.24
    113.86   -21.69   -10.17   -12.82
    113.02   -21.35   -27.40   -12.86
    114.05   -23.02    10.69   -11.56
    113.75   -23.33     4.60    -4.49
    113.27   -22.11     6.38    -3.44
    117.46   -26.86    73.76   -32.66
    118.51   -26.35    53.01   -25.72
    118.81   -26.11    57.21   -24.49
    114.13   -27.40    99.74   -21.54
    114.22   -28.60    51.75    -9.63
    114.72   -28.73    41.93    -7.74
    113.95   -28.92    33.82   -11.08
    118.15   -29.34    23.73     1.01
    117.74   -29.18    27.69    -3.38
    117.30   -28.96    24.07    -2.59
    118.62   -29.78    16.51     2.99
    118.93   -30.74    12.37    -4.91
    120.14   -30.07    15.11   -20.76
    119.91   -29.84    16.54   -31.40
    118.69   -29.24     7.08    -9.79
    103.93   -29.64    44.23     6.02
    104.50   -30.04    35.90     7.70
    103.60   -28.94    54.05     9.19
    103.41   -28.70    53.58     6.72
    105.92   -27.74    97.64    10.82
    106.54   -27.81    98.75     5.34
    105.48   -27.65    98.92    12.74
    105.01   -27.68   102.02    14.01
    104.01   -27.60   111.35    21.20
    103.61   -27.47   114.48    24.77
    103.10   -20.80   -31.10    50.58
    102.91   -21.62   -21.67    41.81
    102.57   -22.65     3.13    45.05
    102.73   -22.98    19.88    43.54
    103.79   -23.70    22.63    21.03
    103.72   -23.93    25.05    17.84
    103.37   -23.60    23.27    27.47
    103.08   -23.44    20.65    30.38
    103.80   -21.43   -18.85    27.80
    104.36   -21.48    -7.63    21.80
    104.64   -21.44    -9.49    19.83
    104.19   -22.36     3.37    15.40
    105.61   -21.47     7.25    -0.05
    105.17   -21.58     4.06     5.38
    104.85   -21.86    11.76     3.93
    106.77   -21.30    17.41   -11.02
    105.79   -21.26     7.18    -2.71
    106.05   -21.44    14.48    -2.82
    105.89   -21.86    19.26    -5.59
    106.52   -22.74     4.44    -3.01
    106.24   -22.44     5.40    -0.67
    105.72   -22.86     7.09    -4.41
    105.74   -23.36     4.69    -0.97
    105.38   -23.70     1.56    -0.52
    105.23   -23.51     2.95     0.09
    107.49   -24.32    39.52     1.17
    107.05   -24.33    52.05     2.41
    105.38   -24.63    44.71    12.57
    105.39   -25.27    15.47    -3.59
    107.54   -24.98    35.19    -0.40
    103.39   -22.51     5.79    28.53
    103.78   -22.44     4.72    10.68
    102.89   -19.03   -93.81    60.95
    103.20   -19.39   -94.41    57.05
    102.96   -16.83   -80.88    30.22
    102.35   -17.14   -79.16    30.37
     99.81   -14.77   -27.81    16.84
    100.68   -14.53   -29.48     8.07
    104.37   -28.61    64.60     7.71
    102.42   -28.35    56.55    11.07
    105.21   -28.73    59.61     4.20
    106.74   -29.53    34.71     6.09
    107.03   -29.72    39.84     5.75
    107.53   -29.45    34.49     3.79
    107.08   -29.14    42.33     4.63
    102.36   -27.87    38.97     7.11
    102.42   -15.17   -57.20    23.33
    100.82   -15.47   -43.91    24.90
    104.63   -17.31  -101.55    27.22
    105.08   -17.20  -106.06    20.53
    105.27   -17.20  -101.51    19.48
    108.02   -16.97   -98.90    -0.55
    106.49   -18.63  -104.62    22.27
    102.88   -16.63   -85.13    30.29
    103.72   -16.72   -79.53    25.73
    104.03   -16.66   -86.47    24.87
    104.80   -16.38   -89.82    20.26
    105.41   -16.18   -87.05    12.89
    106.40   -15.83   -89.63    10.56
    101.97   -16.76   -56.22    20.16
    109.92   -19.57   -52.48   -12.34
    109.45   -19.74   -54.32    -6.81
    107.13   -21.22     9.82   -11.62
    107.68   -20.88    -4.60    -9.92
    107.93   -21.34     1.42   -13.31
    108.67   -20.86   -26.50   -11.62
    109.96   -20.40   -25.06    -5.14
    110.56   -20.38   -26.50    -6.14
    109.88   -20.84   -22.85   -11.66
    109.69   -21.75     0.50    -9.62
    109.86   -22.10     6.14    -3.71
    110.15   -22.45     3.82    -5.92
    108.16   -24.56    19.33     0.58
    106.76   -24.87    32.82     1.36
    108.99   -24.62     3.52    -4.76
    109.43   -24.49     1.86    -4.92
    107.82   -24.93    33.25    -2.42
    108.23   -25.07    31.29    -1.96
    108.73   -25.13    36.80    -2.48
    107.96   -25.53    50.51    -0.14
    108.97   -25.50    66.94    -4.15
    110.18   -24.18     9.99     1.23
    109.95   -24.55     4.60    -0.85
    110.36   -24.46     4.82    -1.21
    106.62   -22.20     9.80     4.20
    106.50   -21.49    16.13    -7.89
    106.62   -13.82   -44.65     7.31
    107.28   -12.90   -16.86     1.87
    119.51   -21.04   -17.97   -36.58
    119.96   -21.42   -10.57   -29.09
    120.04   -21.96   -10.18   -28.82
    119.77   -23.93    17.33   -25.29
    120.23   -23.36    12.65   -22.73
    119.93   -23.49    14.70   -25.93
    119.87   -22.97     2.98   -18.53
    120.74   -23.54    18.69   -20.04
    121.49   -23.53    16.51   -15.90
    120.92   -17.75   -21.10    -5.95
    121.64   -19.29   -19.28    -3.93
    117.49   -18.99   -48.62   -39.23
    117.80   -18.85   -54.04   -44.73
    118.78   -20.95   -21.17   -40.06
    118.58   -20.67   -23.56   -39.04
    118.10   -20.02   -27.95   -37.47
    118.05   -20.52   -31.57   -45.17
    117.33   -21.16   -44.31   -93.68
    117.26   -22.23   -12.95   -82.82
    117.10   -23.61    29.05   -75.39
    117.14   -23.95    51.59   -80.71
    118.80   -20.42   -22.47   -35.87
    120.07   -20.16   -13.05   -31.41
    121.40   -20.73   -38.68   -25.67
    120.89   -20.17   -34.94   -33.15
    120.67   -20.53   -36.29   -34.72
    120.82   -22.67     1.55   -18.36
    120.12   -15.77   -30.62   -16.07
    119.49   -15.48   -33.94   -18.49
    119.94   -15.15   -26.63   -14.42
    120.40   -16.49   -25.81   -19.68
    120.99   -16.83   -14.96   -11.31
    120.89   -16.39   -18.80   -17.47
    118.09   -18.51   -66.21   -49.95
    117.76   -18.25   -70.60   -46.24
    117.40   -17.81   -77.99   -45.92
    117.17   -17.74   -76.74   -44.42
    118.32   -19.39   -42.56   -42.82
    117.77   -19.59   -38.07   -36.41
    118.00   -19.82   -39.21   -38.95
    118.26   -19.81   -38.61   -40.85
    119.92   -17.67   -26.96   -25.16
    120.94   -18.26   -30.07   -22.97
    121.85   -20.87   -34.63   -25.44
    122.71   -20.73   -33.63   -15.84
    122.08   -20.02    -7.45     4.77
    121.05   -20.03    -9.47   -12.57
    121.44   -20.07    -5.57   -14.48
    111.01   -15.38   -76.68   -11.23
    112.48   -15.65   -89.48   -23.60
    109.92   -17.70   -92.09    -5.99
    109.58   -12.47    -5.88    -1.86
    110.99   -12.97   -10.13    -1.17
    111.73   -13.32   -11.94     2.70
    111.59   -13.74   -33.66    -7.57
    110.24   -13.62   -37.47    -8.69
    111.97   -14.35   -52.08   -21.33
    107.61   -12.07     7.35    -2.26
    114.16   -12.86   -23.04    -8.03
    111.82   -13.17   -13.37     1.32
    114.51   -15.02   -35.06   -21.08
    114.04   -13.70   -15.35   -11.91
    113.91   -14.24   -17.50    -8.15
    110.43   -12.96   -18.79    -2.94
    110.53   -13.30   -18.87    -6.35
    111.54   -13.72   -33.21    -6.05
    114.73   -12.51   -26.59    -6.91
    114.35   -11.37    24.87    -3.40
    109.09   -17.47  -117.73   -11.49
    106.19   -11.35    17.59    -3.57
    104.59   -11.65    14.70    -2.65
    103.87   -11.02    24.96    -5.13
    102.79   -10.52    31.45    -2.55
    104.26   -10.39    31.50    -1.56
    104.89   -10.98    24.28     0.03
    106.15   -10.71    14.79    -1.90
    106.95   -11.19    14.71    -3.43
    105.60   -11.67    13.69    -0.18
    104.64   -11.98    18.31    -3.48
    103.66   -11.61    21.83    -2.82
    105.53   -12.31     5.71     1.52
    104.82   -12.36     8.41    -3.53
    104.66   -12.68    -8.00     1.67
    105.44   -12.68    -7.62     3.21
    107.30   -11.88     4.54    -1.22
    107.85   -12.65   -14.83    -2.99
    107.09   -13.07   -15.44     0.11
    105.43   -13.10   -32.93     6.14
    108.87   -13.53   -40.69     1.57
    108.28   -13.49   -44.32     3.46
    108.74   -13.93   -40.86     3.52
    106.51   -15.31   -82.26     8.77
    106.99   -15.31   -91.52     3.29
    108.39   -15.03   -81.88    -2.51
    109.30   -15.16   -86.16    -3.18
    109.40   -15.74   -89.12    -4.79
    110.15   -16.12   -81.72    -4.38
    110.94   -16.12   -82.80   -12.57
    112.01   -16.11   -86.55   -13.57
    110.44   -16.91   -82.31   -10.10
    111.00   -16.94   -77.77   -11.26
    109.80   -17.12   -89.37    -6.74
    111.43   -19.95   -48.38   -15.05
    105.71   -14.05   -51.98     6.66
    105.36   -16.16   -89.56    14.48
    104.66   -16.32   -86.97    20.00
    105.47   -15.85   -93.19    17.73
    105.85   -16.00   -87.08    14.26
    107.77   -16.86  -118.30     5.61
    108.16   -16.80  -111.57     3.84
    109.45   -18.33  -116.05    -7.81
    106.11   -17.55  -134.95    25.98
    105.78   -18.23  -133.00    34.85
    111.53   -21.75    -4.75    -9.17
    111.27   -21.85    -7.38     0.35
    109.75   -21.40   -11.99    -0.63
    110.07   -21.36   -16.37     0.34
    109.27   -21.43   -18.21    -1.63
    109.16   -21.78   -13.15     4.04
    108.98   -19.16   -42.68    -6.75
    109.70   -17.70  -112.38    -0.94
    107.85   -21.51     7.58    -2.18
    107.72   -21.91     7.10    -5.96
    108.33   -21.31     5.50    -1.60
    108.73   -21.14     4.22     0.91
    107.68   -21.38     2.37    -3.81
    107.69   -21.58     3.60    -5.97
    107.35   -22.05    12.04    -7.82
    106.98   -22.01     4.92    -3.36
    106.92   -24.20   -14.08     3.30
    108.52   -24.60     0.66    -9.29
    109.28   -24.37    -1.93     2.75
    111.65   -24.34    -3.25     0.40
    113.50   -23.53     1.80    -3.66
    113.82   -23.28    -0.33    -7.24
    110.22   -25.16    26.97    -3.91
    111.24   -24.95    30.09    -4.86
    111.72   -24.87    15.23    -0.09
    112.10   -24.69    21.18    -1.30
    112.47   -24.59    12.46    -3.73
    112.84   -24.47    14.26    -7.80
    113.14   -24.93    50.72   -16.03
    110.12   -29.85    -9.68     5.51
    110.22   -29.62   -10.50     4.60
    108.15   -30.10    -0.36    12.73
    105.17   -21.27   -15.91    15.44
    105.76   -21.14   -11.14     9.52
    106.76   -21.40     3.59     1.40
    107.87   -21.96     7.46    -6.35
    106.01   -18.87  -104.79    31.95
    104.70   -19.25   -88.09    43.89
    104.11   -20.47   -53.25    24.77
    102.97   -21.76   -28.76    32.01
    102.85   -22.74    -9.29    29.95
    102.95   -23.10     2.33    30.02
    103.32   -23.38     2.55    20.32
    103.23   -23.03    -5.62    23.53
    103.39   -22.75    -2.28    21.88
    103.66   -22.56    -3.55    21.65
    105.19   -21.31   -16.32    13.95
    105.76   -21.14   -11.45     8.47
    104.94   -20.74   -39.37    20.58
    104.28   -23.53    -4.68     9.34
    105.01   -23.81     4.24    11.37
    104.30   -29.81   -77.31   -22.32
    104.12   -29.22   -96.02   -30.32
    104.71   -21.86   -16.93    13.32
    104.89   -17.44  -104.08    27.56
    102.97   -18.28   -72.23    31.43
    101.40   -19.23   -49.32    31.16
    100.91   -19.76   -38.60    35.85
     98.62   -17.20   -71.84    37.06
     99.60   -16.26   -65.24    33.96
     98.15   -16.75   -64.79    39.96
     98.31   -15.97   -47.94    26.21
     99.33   -15.81   -52.16    31.16
    101.47   -14.97   -86.90    27.46
    100.64   -14.26   -72.60    16.33
    101.71   -13.98   -92.84    15.17
    102.39   -14.09   -85.66    18.51
    101.83   -11.91    11.88    -3.59
    101.55   -11.44    16.73    -0.94
    102.60   -11.32    23.26    -0.48
    101.85   -10.53    20.75    -2.49
    103.11   -10.77    31.45     0.06
    102.88   -11.50    22.32    -0.21
    102.11   -12.57    14.20    -6.91
    102.42   -12.89     0.42     3.04
    101.81   -12.94    16.54    -6.33
     97.99   -17.55   -69.60    35.49
     98.34   -17.50   -70.77    34.60
    100.02   -18.31   -68.08    36.99
    100.86   -17.46   -72.12    36.17
    101.89   -17.02   -79.23    36.77
     97.76   -29.99    25.73     1.63
     97.50   -29.42    32.10     1.59
     96.14   -28.82    42.38    12.33
     97.05   -27.90    46.34     4.68
     97.69   -28.36    44.11     3.58
     98.52   -28.89    45.70    -3.21
     99.13   -28.47    48.82    -2.57
     99.18   -29.53    25.00     7.29
     99.65   -29.80     9.73    13.75
     98.18   -30.39    -1.70     8.34
     95.55   -28.56    48.10     7.27
     96.30   -26.38     4.20     3.50
     96.94   -25.65    12.79     5.49
     96.02   -25.55    30.53    -2.07
     95.60   -23.53     6.42    -3.30
     96.31   -22.25    -8.31     3.28
     93.70   -22.50    -2.31     1.94
     94.74   -25.43    19.26    -0.82
     95.04   -25.44    21.57    -1.11
     95.70   -27.57    37.83     0.14
     99.31   -21.63   -12.59    30.33
     98.94   -21.76   -17.35    30.01
     98.31   -23.36     0.72    25.52
     99.91   -21.65   -17.19    33.44
    103.32   -29.84    35.24     8.58
    101.84   -29.65    28.43     7.06
    101.87   -29.02    35.32     9.21
    100.34   -28.06    45.66     8.02
     99.30   -27.53    40.36     9.89
    100.28   -30.40     7.89     5.66
     96.36   -32.85   -39.96    -4.18
     97.45   -32.51   -41.11     6.36
     96.42   -28.67    45.05    12.14
     96.19   -30.01    30.94    11.48
     95.31   -29.80    26.80     3.64
    101.21   -26.57    60.33    26.11
     99.62   -25.44    31.87    28.19
     99.19   -24.96    25.51    22.76
     98.89   -24.36    18.80    26.09
    117.35   -22.90     4.46   -80.00
    117.36   -22.52    -3.83   -77.83
    115.89   -21.25   -46.70   -48.77
    117.67   -21.30   -10.71   -29.40
    119.09   -24.78    23.94   -27.44
    115.91   -18.58     0.57     0.27
    114.97   -14.48   -10.39   -10.08
    116.48   -14.99     4.43     0.24
    116.22   -15.46    -0.23     6.36
    114.58   -21.70   -29.70   -16.40
    116.24   -22.99    -1.51   -39.48
    115.92   -23.38     1.65   -46.43
    116.52   -22.09     1.69   -27.01
    113.76   -21.22   -31.00   -11.77
    113.46   -21.13   -31.83   -15.16
    113.05   -21.80    -3.91    -0.14
    112.49   -23.84    -5.09     3.77
    113.79   -24.79    44.33   -19.84
    116.44   -21.44   -44.36   -68.17
    120.08   -24.15    16.27   -21.55
    119.34   -23.83    14.87   -30.82
    115.15   -27.33    79.90   -25.19
    119.36   -28.41    55.12     2.55
    119.19   -27.95    60.45    -5.14
    119.59   -30.51     8.73   -11.03
    121.09   -29.11    28.82    -4.14
    118.41   -30.38     5.56     8.32
    117.32   -29.31    19.15    -2.33
    116.46   -29.03    18.88    -1.42
    115.93   -29.43    16.62    -4.22
    115.45   -24.00     6.44   -54.34
    112.44   -22.00    -7.84    -1.03
    112.20   -22.94    -3.54     2.47
    112.30   -28.00    90.21    -9.62
    114.60   -27.97    82.35   -17.86
    116.74   -26.88    67.90   -29.89
    115.67   -26.98    79.86   -24.47
    117.09   -26.84    68.33   -30.15
    117.10   -28.25    41.77    -7.37
    107.83   -27.94    62.44     7.01
    106.98   -27.91    60.84     8.43
    109.18   -27.80    48.61     4.16
    110.90   -27.92    94.35    -8.24
    107.20   -26.30   113.53     5.32
    104.87   -27.63    86.87    14.17
    110.73   -26.38   114.44    -6.62
    109.09   -26.48    93.34     0.95
    112.10   -26.33   100.75   -14.65
    103.76   -25.51    91.61    41.02
    103.34   -18.95  -102.39    56.07
    108.45   -15.92  -129.97     7.18
    109.22   -15.72  -115.54     2.97
    112.06   -18.45  -109.42   -17.17
    111.86   -19.14   -94.76   -19.08
    111.34   -20.05   -48.20   -15.23
    113.27   -14.78   -42.14   -13.14
    111.99   -16.02   -95.17   -13.29
    112.76   -15.99   -93.11   -17.48
    107.46   -18.55  -103.54    12.06
    106.07   -17.86  -128.40    18.30
    106.05   -17.61  -131.78    22.29
    107.12   -19.11   -93.78    12.02
    105.07   -19.58   -92.03    27.50
    105.07   -17.36  -101.51    22.53
    106.06   -18.40  -118.33    10.58
    105.52   -16.37   -86.90    15.20
    105.83   -18.18  -132.06    15.29
    105.81   -19.32  -100.12    20.64
    106.94   -24.20     2.73    -2.31
    105.75   -24.06    23.87     3.70
    104.05   -21.52   -13.62    26.60
    103.29   -21.04   -22.87    45.91
    103.97   -19.65   -68.33    45.51
    103.07   -16.63   -80.16    32.68
    104.56   -16.09   -84.74    17.62
    104.98   -16.22   -89.36    16.96
    102.64   -17.07   -75.07    28.29
    102.99   -13.03     6.77     3.94
    102.42   -13.31    -4.62     5.09
    101.94   -13.70     5.24     0.98
    102.67   -13.85   -28.57    10.86
    103.80   -14.00   -42.42    11.63
    103.10   -15.52   -58.05    15.77
    101.97   -15.70   -69.32    24.17
    103.28   -16.13   -87.34    27.77
    103.81   -15.92   -85.33    27.28
    104.32   -15.73   -86.40    22.07
    104.88   -15.48   -89.26    15.15
    105.56   -15.94   -87.92    14.19
    105.46   -17.11   -98.52    17.61
    105.68   -17.03  -100.80    16.39
    104.58   -17.50   -97.98    26.59
    103.26   -18.28   -75.82    39.63
    102.52   -18.53   -76.37    42.92
    103.50   -17.59   -88.60    33.10
    102.30   -18.19   -93.47    49.30
    106.08   -24.43    28.65     5.26
    107.26   -24.82    33.87     1.42
    106.71   -25.38    22.47     0.85
    106.56   -24.24     6.05    -8.12
    108.52   -21.14   -10.56   -10.50
    109.04   -18.83  -100.57     5.74
    110.46   -21.35    13.95     0.11
    108.79   -22.39     6.41    -0.27
    108.72   -22.93     5.71    -0.16
    108.37   -23.08     4.58    -1.07
    107.97   -23.71    -5.06    -0.84
    107.71   -23.62    -2.46     6.27
    108.45   -21.38     6.06    -2.71
    108.31   -21.71    13.16    -9.29
    107.91   -21.78    15.28    -8.14
    108.28   -21.30     8.72    -6.86
    107.20   -21.76     1.47     2.26
    109.06   -23.76    -0.74     1.30
    110.07   -23.80    -1.96    -1.74
    110.64   -23.25     2.26    -2.81
    110.50   -22.40    -0.37    -4.82
    109.67   -22.60    -1.79    -7.43
    113.50   -24.33    19.51    -6.13
    111.04   -26.11   115.28   -10.58
    110.34   -26.20   121.93    -6.63
    112.41   -25.66   109.97   -13.74
    113.61   -25.43    93.09   -30.66
    108.86   -26.15   126.38     2.32
    116.92   -21.20   -44.81   -78.37
    117.07   -21.61   -34.21   -81.42
    116.17   -24.68    64.13   -43.46
    115.24   -25.11   100.49   -40.76
    116.50   -25.83   107.75   -41.51
    116.96   -25.49   101.73   -47.84
    116.64   -26.41    74.13   -32.75
    117.93   -26.23    64.01   -26.26
    116.90   -26.39    73.11   -33.28
    117.60   -26.09    70.96   -41.19
    115.18   -26.60    81.64   -24.71
     96.28   -13.91    13.94    -3.58
     96.55   -11.94    28.63    -6.55
     97.31   -12.45    27.52    -0.36
     97.10   -11.90    29.72     1.31
     95.20   -11.80    26.78    -2.52
     93.57   -12.85    32.85    -0.86
     93.94   -11.04    19.51     0.79
     93.00   -12.08    26.74    -0.91
     95.06   -13.97    21.11    -7.48
     91.02   -12.61    36.29    -7.32
     92.36   -11.98    25.66    -4.04
     92.40   -13.15    28.57    -0.02
     93.27   -13.53    40.01     1.53
     92.00   -13.49    42.14    -1.49
     89.06   -13.22    36.52    -1.26
     90.11   -11.43    27.87    -3.11
     88.22   -11.56    35.67    -0.52
     86.22   -13.66    36.64    -8.91
     87.33   -12.67    39.71    -6.42
     88.20   -11.94    38.02    -0.42
     83.43   -12.08    26.07    -2.84
     81.11   -11.45    52.93    -6.69
     80.48   -12.21    44.68    -4.63
     80.83   -13.72    41.28    -7.11
     79.48   -13.46    50.27    -6.33
     78.77   -12.69    51.68    -3.55
     78.78   -14.11    52.38    -4.59
     80.70   -14.72    38.89    -8.63
     80.49    -8.36   100.18    -4.62
     81.68    -9.73    82.42    -4.29
     77.83    -8.59    92.09     2.00
     78.85    -7.23    81.03     1.06
     79.11    -6.12    78.43     0.58
     80.10    -4.72    60.42   -10.51
     81.96    -5.74    79.52   -30.31
     84.57    -5.89   100.92   -27.62
     80.48    -8.27    96.41   -13.75
    119.03   -23.77    10.56   -20.89
    121.40   -27.28    46.69     0.97
    122.26   -26.24    47.58    -1.55
    123.75   -26.37    51.70    -2.73
    124.10   -26.17    51.17     0.44
    120.15   -26.40    56.79   -17.93
    119.78   -24.37    22.92   -20.30
    120.61   -23.11     7.32   -16.11
    120.87   -22.18    -7.96   -20.55
    120.26   -21.23   -16.81   -26.43
    120.63   -21.32   -19.39   -28.31
    121.09   -22.56    -2.40   -21.47
    122.32   -25.79    40.67    -0.98
    123.33   -25.54    39.03    -4.98
    119.57   -24.55    25.38   -21.85
    119.13   -24.83    33.65   -23.90
    121.59   -26.07    45.12    -6.10
    120.73   -26.24    40.76    -7.15
    121.77   -26.68    48.26     0.23
    120.85   -27.28    46.58     0.45
    120.50   -23.07     8.04   -15.24
    101.76   -27.81    86.63    17.01
    103.00   -27.74   101.54    32.90
    104.32   -27.52    78.83    21.52
    104.50   -28.14    86.59    12.98
    106.37   -28.91    68.70     9.02
    108.07   -30.19    33.36   -26.32
    103.28   -28.98    23.17    -4.71
    101.68   -28.69    43.92    12.27
    102.52   -29.44     6.11     3.36
    103.95   -29.32    24.32     0.92
    107.81   -30.29     6.04   -17.21
    110.27   -29.98    46.94     0.87
    109.58   -29.76    55.19    -7.08
    110.68   -29.41    64.75     3.95
    110.35   -29.85    50.74     1.60
    109.29   -31.01     0.86    -2.81
    105.92   -28.49    86.30     8.23
    107.25   -27.24   100.01     7.95
    107.89   -29.49    40.44    -3.49
    101.09   -28.20    51.90     6.59
    103.21   -26.52    91.54    24.96
    102.71   -27.56   101.78    30.24
    102.88   -28.06    86.31    19.30
    102.48   -30.31   -16.01     9.32
    103.95   -30.62   -13.24    -5.00
    104.12   -30.66   -11.46    -1.74
    109.85   -33.52     0.81   -19.85
    109.23   -33.96    10.33   -28.00
    110.26   -33.35    -0.29   -16.82
    108.54   -35.06    39.97   -30.81
    110.22   -33.85     6.37   -19.81
    110.84   -33.13   -19.82   -22.57
    111.28   -32.52     1.35   -21.35
    110.97   -32.90   -14.21   -19.09
    108.67   -32.38   -21.72   -34.09
    109.33   -32.94    -8.92   -23.77
    110.52   -31.26    -4.83   -10.16
    111.25   -30.93    19.35    -6.34
    111.54   -31.55     1.21    -8.39
    109.40   -34.44    31.33   -38.54
    104.95   -34.58    35.89   -10.06
    106.78   -35.21    46.19   -24.44
    105.79   -33.77   -23.39   -47.84
    106.18   -34.60    56.69   -50.97
    104.15   -35.10    64.91     2.48
    105.66   -34.08    27.84   -16.48
    102.39   -33.54    18.74     7.52
    102.11   -34.07    21.88    14.39
    102.53   -33.76    12.58     7.69
    102.71   -33.92    22.91     5.81
    102.42   -34.07    21.45    11.44
    102.99   -34.10    32.06     7.86
    102.85   -34.27    32.41    12.29
    103.34   -34.63    33.48    11.77
    103.87   -35.08    69.57     7.70
    103.30   -35.07    68.70    10.25
    104.18   -35.11    67.51     0.70
    104.88   -35.07    67.87   -14.48
    105.57   -34.86    58.13   -23.14
    105.74   -34.74    54.51   -25.62
    105.92   -34.17    34.34   -19.78
    102.76   -33.38    -4.48    16.13
    103.26   -33.34    -3.32    10.00
    104.04   -33.44     4.69     2.05
    104.67   -33.46     2.33    -6.31
    104.44   -34.80    49.92    -1.79
    104.56   -34.71    35.88    -7.87
    104.71   -34.59    34.19    -8.69
    104.79   -34.72    36.89    -7.30
    104.94   -34.60    35.23    -7.59
    105.40   -34.40    30.41   -11.56
    104.94   -34.08    26.71    -9.85
    103.55   -34.67    23.92     8.95
    103.25   -35.07    67.70    11.59
    101.19   -33.94    15.75    52.06
    100.94   -34.72    46.07    41.71
    101.30   -33.05   -30.50    53.52
    101.59   -33.09   -94.48    91.81
    100.97   -33.16   -28.42    49.15
    101.39   -34.33    41.71    37.28
    108.10   -30.74    -5.89   -30.15
    109.14   -32.89   -18.55   -25.04
    108.63   -32.33   -23.32   -27.89
    108.22   -31.91   -24.84   -30.98
    107.42   -31.27   -26.18   -30.30
    106.64   -30.65   -19.76   -18.51
    103.96   -29.41    25.10     3.27
    104.03   -29.22    28.25     6.08
    103.29   -28.97    23.90    -5.67
    102.54   -29.41     3.68     4.29
    101.92   -29.30    -3.46     4.89
    102.60   -30.30   -13.30     7.48
    101.05   -28.22    51.22     5.92
    101.59   -27.07    63.87     8.08
    103.08   -27.70    97.19    34.16
    103.82   -28.20    85.47    13.44
    106.15   -28.44    86.12    10.23
    109.45   -29.53    53.47    -8.19
    110.34   -29.86    50.07     2.57
    111.27   -30.91    20.97    -5.53
    111.27   -29.92    60.34    -3.72
    110.44   -31.38    -3.77   -11.72
    107.04   -33.54   -13.45   -79.94
    106.22   -32.55   -62.63   -54.46
    105.14   -32.10   -62.87   -25.62
    104.61   -32.01   -66.92   -13.62
    103.76   -31.70  -110.64     9.14
    103.08   -31.80  -109.88    21.74
    102.48   -32.32   -85.90    33.39
    102.41   -31.80  -112.39    46.72
    105.22   -32.09   -61.79   -29.00
    105.52   -31.91   -80.05   -40.15
    106.13   -32.82   -36.66   -45.31
    104.67   -32.00   -63.17   -14.97
    104.11   -32.02   -64.07    -1.23
    104.95   -34.60    36.02    -7.17
    104.59   -34.74    35.65    -8.70
     99.61   -31.44   -16.42    19.97
    100.06   -30.98   -14.13    15.03
    100.94   -30.85   -22.75    12.25
    101.98   -30.21   -13.14    10.73
    100.06   -30.72   -27.62    21.48
    103.05   -35.06    59.29    14.17
    100.95   -34.41    63.79    65.82
    104.71   -33.54    -0.95    -8.80
    105.18   -33.52    -1.20   -20.04
    106.33   -33.39    -8.10   -41.14
    104.98   -23.26     6.32     6.15
    105.51   -23.03     9.98     4.13
    106.57   -23.42    -3.87     2.30
    108.29   -21.64    -2.72     3.02
    108.32   -22.67    -0.68     2.23
    109.54   -24.00     0.44     1.70
    105.55   -22.95    10.96     3.68
    105.44   -22.51     2.97     8.97
    107.01   -23.63    -4.42     1.34
    107.07   -23.46    -4.14    -1.65
    107.19   -22.16     4.47     2.42
